Term,ICD_clean
40733004: Infectious disease,A00-B99
42338000: Salmonella gastroenteritis,A02.0
186431008: Clostridium difficile infection,A04.7
310541005: Clostridium difficile toxin A detected,A04.7
423590009: Clostridium difficile colitis,A04.7
5891000119102: Clostridium difficile diarrhea,A04.7
301469002: Antibiotic-associated diarrhea,A04.7
307759003: Helicobacter pylori gastrointestinal tract infection,A04.9
18624000: Disease due to Rotavirus,A08.0
445152004: Enteritis due to Norovirus,A08.13
111843007: Viral gastroenteritis,A08.4
12463005: Infectious gastroenteritis,A09
57419008: Gastroenteritis presumed infectious,A09
69776003: Acute gastroenteritis,A09
409966000: Acute diarrhea,A09
39341005: Infectious colitis,A09.0
95545007: Hemorrhagic diarrhea,A09.9
21560005: Lepromatous leprosy,A30.8
240383005: Disseminated mycobacteriosis,A31.0
310669007: Septicemia due to enterococcus,A40.2
406614006: Invasive Group A beta-hemolytic streptococcal disease,A40.9
428763004: Bacteremia due to Staphylococcus aureus,A41.01
501000119108: Bacteremia caused by Gram-negative bacteria,A41.50
447899008: Sepsis due to Escherichia coli,A41.51
449082003: Sepsis due to Gram negative bacteria,A41.51
501000119108: Bacteremia due to gram negative bacteria,A41.51
429272002: Sepsis due to infected central venous catheter,A41.81
10001005: Bacterial sepsis,A41.9
4052: Bacterial sepsis,A41.9
4084: Sepsis with positive blood cultures,A41.9
91302008: Sepsis,A41.9
431193003: Infection of bloodstream,A41.9
397434007: Infection due to Corynebacterium,A48.8
444150000: Latent syphilis,A52.79
444451006: Exposure to sexually transmissible disorder,A56.9
419760006: Bacterial vaginosis,A59.0
420079008: Relapsing fever,A68.1
4060: Lyme disease,A69.20
186788009: Q fever,A78.1
1475003: Herpes labialis,B00.1
402892009: Recurrent herpes simplex labialis,B00.1
88594005: Herpes simplex,B00.1
57920007: Herpetic gingivostomatitis,B00.2
427796004: Encephalitis due to human herpes simplex virus,B00.4
428638009: Encephalitis due to Herpesviridae,B00.4
186544000: Herpes simplex eyelid dermatitis,B00.5
23513009: Herpesvirus infection,B00.9
371108009: Varicella non-immune,B01.2
38907003: Varicella,B01.9
240534005: Hand wart,B06.82
63440008: Verruca plantaris,B07.1
43021004: Periungual wart,B07.81
13338002: Verruca palmaris,B07.9
57019003: Verruca vulgaris,B07.9
40070004: Molluscum contagiosum infection,B08.1
765783008: Molluscum contagiosum skin infection,B08.2
34730008: Erythema infectiosum,B08.3
186659004: Herpangina,B08.5
240546009: Coxsackie virus exanthem,B08.5
421512008: Nonspecific exanthematous viral infection,B08.8
49882001: Viral exanthem,B08.9
442177008: Infection by human herpesvirus 6,B10
271511000: Hepatitis B immune,B18.11
50711007: Viral hepatitis C,B18.2
4451: Hepatitis,B19
4737: Human immunodeficiency virus infection,B20
62479008: AIDS,B20
86406008: Human immunodeficiency virus infection,B20
28944009: Cytomegalovirus infection,B25.9
4181: Cytomegalovirus (CMV) disease,B25.9
445460009: Epstein-Barr virus serostatus positive,B27.1
773738009: Chronic Epstein-Barr virus infection syndrome,B27.1
271558008: Infectious mononucleosis,B27.9
70880006: Adenoviral enteritis,B34.0
28192008: Enterovirus meningitis,B34.1
186658007: Coxsackie virus disease,B34.2
2528003: Viremia,B34.9
4184: Viral infection,B34.9
452021000124103: Recurrent viral infection,B34.9
409631000: Acute viral disease,B34.9
5441008: Tinea capitis,B35.0
240696004: Tinea faciei,B35.01
414941008: Onychomycosis,B35.1
47382004: Dermatophytosis,B35.1
84849002: Tinea corporis,B35.6
56454009: Pityriasis versicolor,B36.0
49883006: Candidiasis of skin,B37.1
266158001: Candidal intertrigo,B37.2
1085006: Candidiasis of vulva,B37.3
72605008: Candidal vulvovaginitis,B37.3
72934000: Candidiasis of vagina,B37.3
52643007: Candidal balanitis,B37.42
4082: Fungemia,B37.8
240711004: Diaper candidiasis,B37.83
79740000: Candidiasis of mouth,B37.83
"404503003: Candida, not Candida albicans",B37.89
12391000132109: Invasive fungal infection,B37.9
4053: Candida infection,B37.9
434532004: Fungemia,B37.9
78048006: Candidiasis,B37.9
187054003: Pulmonary histoplasmosis,B39.1
65553006: Aspergillosis,B44
3218000: Mycosis,B49
81000006: Pediculosis capitis,B85
128869009: Infestation by Sarcoptes scabiei var hominis,B86.0
365702009: Growth of parasites - finding,B89
